,Current Universe,PIT Universe,Difference
CAGR,0.21991026142138304,0.14940813196953173,-0.0705021294518513
Total Return,7.492830776770592,3.4752601358556747,-4.017570640914918
Max Drawdown,-0.19209909031887792,-0.2520296055960075,-0.05993051527712959
Sharpe,1.359828744356901,0.9819486770928688,-0.3778800672640322
Sortino,1.2674946732297558,0.8932976682225584,-0.37419700500719744
Calmar,1.1447751317111368,0.5928197666151431,-0.5519553650959936
Volatility,0.15519751925753558,0.15406363978886972,-0.0011338794686658604
Trades,734.0,727.0,-7.0
Win Rate,0.45776566757493187,0.4264099037138927,-0.031355763861039165
Avg Winner,0.22307581156494966,0.19669466518145812,-0.02638114638349154
Avg Loser,-0.0867240370174173,-0.08399153919902301,0.0027324978183942833
Profit Factor,1.7789689847706425,1.5885716061056363,-0.19039737866500617
Max Win,2.7678421146235364,3.141129639171612,0.37328752454807557
Max Loss,-0.31868951659861944,-0.23123858372483458,0.08745093287378486
Avg Holding (Days),37.37193460490463,37.29160935350757,-0.08032525139706337
Turnover (Trades/Yr),68.20353982300884,67.55309734513274,-0.6504424778760978
