Date,Current_Count,PIT_Count,In_Current_Not_PIT,In_PIT_Not_Current
2020-09-04,501,504,"['POLICYBZR.NS', 'IGIL.NS', 'TATATECH.NS', 'FIRSTCRY.NS', 'LODHA.NS']","['GMMPFAUDLR.NS', 'FINEORG.NS', 'VSTIND.NS', 'ARVINDFASN.NS', 'SPICEJET.NS']"
2020-09-25,501,507,"['POLICYBZR.NS', 'IGIL.NS', 'TATATECH.NS', 'FIRSTCRY.NS', 'LODHA.NS']","['SOLARA.NS', 'GMMPFAUDLR.NS', 'FINEORG.NS', 'VSTIND.NS', 'SPICEJET.NS']"
2021-06-11,501,501,"['POLICYBZR.NS', 'IGIL.NS', 'TATATECH.NS', 'FIRSTCRY.NS', 'LODHA.NS']","['SOLARA.NS', 'GMMPFAUDLR.NS', 'FINEORG.NS', 'VSTIND.NS', 'SPICEJET.NS']"
2022-10-21,501,500,"['IGIL.NS', 'TATATECH.NS', 'FIRSTCRY.NS', 'NIVABUPA.NS', 'J&KBANK.NS']","['GMMPFAUDLR.NS', 'FINEORG.NS', 'GAEL.NS', 'CAMPUS.NS', 'ALKYLAMINE.NS']"
2022-12-16,501,501,"['IGIL.NS', 'TATATECH.NS', 'FIRSTCRY.NS', 'NIVABUPA.NS', 'J&KBANK.NS']","['GMMPFAUDLR.NS', 'FINEORG.NS', 'GAEL.NS', 'CAMPUS.NS', 'ALKYLAMINE.NS']"
2023-12-22,501,501,"['IGIL.NS', 'TATATECH.NS', 'FIRSTCRY.NS', 'NIVABUPA.NS', 'J&KBANK.NS']","['GMMPFAUDLR.NS', 'FINEORG.NS', 'GAEL.NS', 'CAMPUS.NS', 'INGERRAND.NS']"
2024-02-02,501,501,"['IGIL.NS', 'TATATECH.NS', 'FIRSTCRY.NS', 'NIVABUPA.NS', 'J&KBANK.NS']","['GMMPFAUDLR.NS', 'FINEORG.NS', 'GAEL.NS', 'CAMPUS.NS', 'INGERRAND.NS']"
2024-10-18,501,500,"['IGIL.NS', 'FIRSTCRY.NS', 'SAILIFE.NS', 'AFCONS.NS', 'NIVABUPA.NS']","['ACI.NS', 'FINEORG.NS', 'DBREALTY.NS', 'PRAJIND.NS', 'GODREJAGRO.NS']"
2025-06-20,501,499,"['EMMVEE.NS', 'HDBFS.NS', 'ACUTAAS.NS', 'PWL.NS', 'ICICIAMC.NS']","['DBREALTY.NS', 'PRAJIND.NS', 'GODREJAGRO.NS', 'MAHSEAMLES.NS', 'SUNDRMFAST.NS']"
2025-12-26,501,499,"['EMMVEE.NS', 'HDBFS.NS', 'ACUTAAS.NS', 'PWL.NS', 'ICICIAMC.NS']","['DBREALTY.NS', 'GODREJAGRO.NS', 'MAHSEAMLES.NS', 'AGARWALEYE.NS', 'SUNDRMFAST.NS']"
